epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13.8701,0.61862,0.68738,0.8529,0.016,1,0.98009,0.66658,0.9527,2.44203,0.95493,0.000490728,0.000490728,0.000490728
44,14.1631,0.72681,0.65708,0.834,0.016,1,0.98009,0.66658,0.9527,2.44203,0.95493,0.000493898,0.000493898,0.000493898
45,14.4707,0.63108,0.63915,0.82925,0.016,1,0.995,0.67812,0.93781,2.42239,0.94492,0.000496672,0.000496672,0.000496672
46,14.7651,0.60241,0.62347,0.81278,0.016,1,0.995,0.67812,0.93781,2.42239,0.94492,0.00049905,0.00049905,0.00049905
47,15.1893,0.63504,0.62737,0.82276,0.016,1,0.995,0.68281,0.99702,2.40471,0.95838,0.000501032,0.000501032,0.000501032
48,15.5067,0.63872,0.64676,0.82831,0.016,1,0.995,0.68281,0.99702,2.40471,0.95838,0.000502618,0.000502618,0.000502618
49,15.8197,0.58593,0.66645,0.81511,0.016,1,0.995,0.71402,0.95011,2.3456,0.93364,0.000503808,0.000503808,0.000503808
50,16.1382,0.71204,0.66333,0.83653,0.016,1,0.995,0.71402,0.95011,2.3456,0.93364,0.000504602,0.000504602,0.000504602
51,16.4594,0.5655,0.63928,0.81423,0.03729,1,0.995,0.72123,0.88446,2.2715,0.91078,0.000505,0.000505,0.000505
52,16.7758,0.57754,0.61552,0.80609,0.03729,1,0.995,0.72123,0.88446,2.2715,0.91078,0.000505002,0.000505002,0.000505002
53,17.0959,0.55616,0.61802,0.81223,0.03729,1,0.995,0.72123,0.88446,2.2715,0.91078,0.000504608,0.000504608,0.000504608
54,17.4269,0.60964,0.63023,0.82267,0.98674,1,0.995,0.7116,0.90938,2.15437,0.92271,0.000503818,0.000503818,0.000503818
55,17.7207,0.58432,0.6015,0.81186,0.98674,1,0.995,0.7116,0.90938,2.15437,0.92271,0.000502632,0.000502632,0.000502632
56,18.0248,0.62887,0.60032,0.81494,0.98674,1,0.995,0.7116,0.90938,2.15437,0.92271,0.00050105,0.00050105,0.00050105
57,18.3261,0.63722,0.6426,0.83106,1,0.97302,0.995,0.71729,0.93095,2.04756,0.92802,0.000499072,0.000499072,0.000499072
58,18.7417,0.53655,0.56238,0.82009,1,0.97302,0.995,0.71729,0.93095,2.04756,0.92802,0.000496698,0.000496698,0.000496698
59,19.0486,0.61949,0.594,0.82939,1,0.97302,0.995,0.71729,0.93095,2.04756,0.92802,0.000493928,0.000493928,0.000493928
60,19.3602,0.62933,0.62156,0.80543,1,0.91652,0.9934,0.71568,0.95314,1.97802,0.92911,0.000490762,0.000490762,0.000490762
61,19.6562,0.55529,0.57757,0.80818,1,0.91652,0.9934,0.71568,0.95314,1.97802,0.92911,0.0004872,0.0004872,0.0004872
62,19.9439,0.62369,0.60292,0.81121,1,0.91652,0.9934,0.71568,0.95314,1.97802,0.92911,0.000483242,0.000483242,0.000483242
63,20.2552,0.58305,0.58759,0.8087,0.85151,0.83333,0.93184,0.68093,0.95116,1.92439,0.92627,0.000478888,0.000478888,0.000478888
64,20.579,0.52217,0.54998,0.80881,0.85151,0.83333,0.93184,0.68093,0.95116,1.92439,0.92627,0.000474138,0.000474138,0.000474138
65,20.879,0.60331,0.61407,0.82184,0.85151,0.83333,0.93184,0.68093,0.95116,1.92439,0.92627,0.000468992,0.000468992,0.000468992
66,21.191,0.58717,0.64641,0.81124,0.86869,0.82718,0.85666,0.61815,0.92744,1.89881,0.93132,0.00046345,0.00046345,0.00046345
67,21.4907,0.53587,0.58272,0.81321,0.86869,0.82718,0.85666,0.61815,0.92744,1.89881,0.93132,0.000457512,0.000457512,0.000457512
68,21.7845,0.55928,0.5642,0.79815,0.86869,0.82718,0.85666,0.61815,0.92744,1.89881,0.93132,0.000451178,0.000451178,0.000451178
69,22.214,0.52656,0.56584,0.81717,0.82268,0.77368,0.8264,0.60699,0.9044,1.85774,0.93096,0.000444448,0.000444448,0.000444448
70,22.5117,0.54676,0.55806,0.81288,0.82268,0.77368,0.8264,0.60699,0.9044,1.85774,0.93096,0.000437322,0.000437322,0.000437322
71,22.811,0.5322,0.58124,0.79053,0.82268,0.77368,0.8264,0.60699,0.9044,1.85774,0.93096,0.0004298,0.0004298,0.0004298
72,23.1252,0.54185,0.57564,0.81042,0.82134,0.76665,0.89398,0.65847,0.94454,1.81527,0.9505,0.000421882,0.000421882,0.000421882
73,23.4267,0.56621,0.55156,0.802,0.82134,0.76665,0.89398,0.65847,0.94454,1.81527,0.9505,0.000413568,0.000413568,0.000413568
74,23.7193,0.51786,0.6652,0.8242,0.82134,0.76665,0.89398,0.65847,0.94454,1.81527,0.9505,0.000404858,0.000404858,0.000404858
75,24.0283,0.53315,0.56726,0.81812,1,0.86953,0.995,0.7324,0.95302,1.76816,0.95152,0.000395752,0.000395752,0.000395752
76,24.3359,0.61932,0.59209,0.80299,1,0.86953,0.995,0.7324,0.95302,1.76816,0.95152,0.00038625,0.00038625,0.00038625
77,24.6586,0.53113,0.59328,0.78705,1,0.86953,0.995,0.7324,0.95302,1.76816,0.95152,0.000376352,0.000376352,0.000376352
78,24.9944,0.54121,0.53636,0.80639,0.92086,0.96992,0.97269,0.70292,0.98747,1.68423,0.9755,0.000366058,0.000366058,0.000366058
79,25.414,0.52157,0.5586,0.80563,0.92086,0.96992,0.97269,0.70292,0.98747,1.68423,0.9755,0.000355368,0.000355368,0.000355368
80,25.7107,0.50214,0.55299,0.79429,0.92086,0.96992,0.97269,0.70292,0.98747,1.68423,0.9755,0.000344282,0.000344282,0.000344282
81,26.0464,0.54672,0.55884,0.8018,0.91697,1,0.98711,0.7125,0.966,1.56586,0.97913,0.0003328,0.0003328,0.0003328
82,26.3482,0.51517,0.53903,0.80072,0.91697,1,0.98711,0.7125,0.966,1.56586,0.97913,0.000320922,0.000320922,0.000320922
83,26.6573,0.56899,0.53432,0.80714,0.91697,1,0.98711,0.7125,0.966,1.56586,0.97913,0.000308648,0.000308648,0.000308648
84,26.9684,0.57676,0.53341,0.78882,0.98368,1,0.995,0.72116,0.93632,1.42467,0.97578,0.000295978,0.000295978,0.000295978
85,27.2643,0.50712,0.51204,0.80927,0.98368,1,0.995,0.72116,0.93632,1.42467,0.97578,0.000282912,0.000282912,0.000282912
86,27.5595,0.50937,0.54825,0.81808,0.98368,1,0.995,0.72116,0.93632,1.42467,0.97578,0.00026945,0.00026945,0.00026945
87,27.8565,0.53533,0.54073,0.81064,0.98368,1,0.995,0.72116,0.93632,1.42467,0.97578,0.000255592,0.000255592,0.000255592
88,28.1658,0.51468,0.51455,0.81418,0.98136,1,0.995,0.71902,0.90731,1.27496,0.96665,0.000241338,0.000241338,0.000241338
89,28.4707,0.558,0.53381,0.80029,0.98136,1,0.995,0.71902,0.90731,1.27496,0.96665,0.000226688,0.000226688,0.000226688
90,28.9102,0.6119,0.52845,0.81159,0.98136,1,0.995,0.71902,0.90731,1.27496,0.96665,0.000211642,0.000211642,0.000211642
91,29.9729,0.49822,0.5698,0.80475,0.98136,1,0.995,0.71902,0.90731,1.27496,0.96665,0.0001962,0.0001962,0.0001962
92,30.3824,0.50129,0.56513,0.80175,0.98626,1,0.995,0.7271,0.91304,1.15856,0.96743,0.000180362,0.000180362,0.000180362
93,30.7479,0.51407,0.59627,0.78207,0.98626,1,0.995,0.7271,0.91304,1.15856,0.96743,0.000164128,0.000164128,0.000164128
94,31.1006,0.54426,0.59618,0.79992,0.98626,1,0.995,0.7271,0.91304,1.15856,0.96743,0.000147498,0.000147498,0.000147498
95,31.3972,0.51855,0.60716,0.8113,0.98626,1,0.995,0.7271,0.91304,1.15856,0.96743,0.000130472,0.000130472,0.000130472
96,31.7155,0.53452,0.60799,0.77669,0.98913,1,0.995,0.73213,0.91117,1.06804,0.96598,0.00011305,0.00011305,0.00011305
97,32.0229,0.5161,0.5682,0.81007,0.98913,1,0.995,0.73213,0.91117,1.06804,0.96598,9.5232e-05,9.5232e-05,9.5232e-05
98,32.3155,0.51813,0.56398,0.80297,0.98913,1,0.995,0.73213,0.91117,1.06804,0.96598,7.7018e-05,7.7018e-05,7.7018e-05
99,32.6074,0.46856,0.56223,0.79422,0.98913,1,0.995,0.73213,0.91117,1.06804,0.96598,5.8408e-05,5.8408e-05,5.8408e-05
100,33.0594,0.49955,0.5509,0.79768,0.99088,1,0.995,0.7292,0.91011,0.99219,0.96859,3.9402e-05,3.9402e-05,3.9402e-05
